Age,Workclass,Final Weight,Education,Education Number of Years,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income,Age_original,combined_group,sample_weight,Race_Sex_combined,Age_Sex_combined
Early-Middle,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States,>50K,37,Early-Middle_Some-college_Married-civ-spouse_Exec-managerial_Husband_Black_Male_United-States,0.7,Black_Male,Early-Middle_Male
Young,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K,30,Young_Bachelors_Married-civ-spouse_Prof-specialty_Husband_Asian-Pac-Islander_Male_India,0.5,Asian-Pac-Islander_Male,Young_Male
Young,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K,23,Young_Bachelors_Never-married_Adm-clerical_Own-child_White_Female_United-States,0.509090909090909,White_Female,Young_Female
Early-Middle,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K,32,Early-Middle_Assoc-acdm_Never-married_Sales_Not-in-family_Black_Male_United-States,1.0,Black_Male,Early-Middle_Male
Early-Middle,Private,121772,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?,>50K,40,Early-Middle_Assoc-voc_Married-civ-spouse_Craft-repair_Husband_Asian-Pac-Islander_Male_?,0.5,Asian-Pac-Islander_Male,Early-Middle_Male
Early-Middle,Private,245487,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K,34,Early-Middle_7th-8th_Married-civ-spouse_Transport-moving_Husband_Amer-Indian-Eskimo_Male_Mexico,0.5,Amer-Indian-Eskimo_Male,Early-Middle_Male
Young,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K,25,Young_HS-grad_Never-married_Farming-fishing_Own-child_White_Male_United-States,0.5,White_Male,Young_Male
Early-Middle,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K,32,Early-Middle_HS-grad_Never-married_Machine-op-inspct_Unmarried_White_Male_United-States,0.5,White_Male,Early-Middle_Male
Early-Middle,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,38,Early-Middle_11th_Married-civ-spouse_Sales_Husband_White_Male_United-States,0.5714285714285714,White_Male,Early-Middle_Male
Early-Middle,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K,43,Early-Middle_Masters_Divorced_Exec-managerial_Unmarried_White_Female_United-States,1.75,White_Female,Early-Middle_Female
Early-Middle,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,40,Early-Middle_Doctorate_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,0.6197183098591549,White_Male,Early-Middle_Male
Late-Middle,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K,54,Late-Middle_HS-grad_Separated_Other-service_Unmarried_Black_Female_United-States,0.5,Black_Female,Late-Middle_Female
Early-Middle,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K,35,Early-Middle_9th_Married-civ-spouse_Farming-fishing_Husband_Black_Male_United-States,0.5,Black_Male,Early-Middle_Male
Early-Middle,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K,43,Early-Middle_11th_Married-civ-spouse_Transport-moving_Husband_White_Male_United-States,0.5476190476190477,White_Male,Early-Middle_Male
Late-Middle,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,59,Late-Middle_HS-grad_Divorced_Tech-support_Unmarried_White_Female_United-States,0.5,White_Female,Late-Middle_Female
Late-Middle,Local-gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,56,Late-Middle_Bachelors_Married-civ-spouse_Tech-support_Husband_White_Male_United-States,0.6590909090909091,White_Male,Late-Middle_Male
Young,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,19,Young_HS-grad_Never-married_Craft-repair_Own-child_White_Male_United-States,0.5,White_Male,Young_Male
Late-Middle,?,180211,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K,54,Late-Middle_Some-college_Married-civ-spouse_?_Husband_Asian-Pac-Islander_Male_South,0.5,Asian-Pac-Islander_Male,Late-Middle_Male
Early-Middle,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K,39,Early-Middle_HS-grad_Divorced_Exec-managerial_Not-in-family_White_Male_United-States,0.5714285714285714,White_Male,Early-Middle_Male
Late-Middle,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,49,Late-Middle_HS-grad_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,0.8817829457364341,White_Male,Late-Middle_Male
Young,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K,23,Young_Assoc-acdm_Never-married_Protective-serv_Not-in-family_White_Male_United-States,0.5,White_Male,Young_Male
Young,Private,266015,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,<=50K,20,Young_Some-college_Never-married_Sales_Own-child_Black_Male_United-States,0.5384615384615384,Black_Male,Young_Male
Early-Middle,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,<=50K,45,Early-Middle_Bachelors_Divorced_Exec-managerial_Own-child_White_Male_United-States,0.5,White_Male,Early-Middle_Male
Young,Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,30,Young_Some-college_Married-civ-spouse_Adm-clerical_Own-child_White_Male_United-States,1.0,White_Male,Young_Male
Young,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K,22,Young_Some-college_Married-civ-spouse_Other-service_Husband_Black_Male_United-States,0.5,Black_Male,Young_Male
Late-Middle,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,<=50K,48,Late-Middle_11th_Never-married_Machine-op-inspct_Unmarried_White_Male_Puerto-Rico,0.5,White_Male,Late-Middle_Male
Young,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,21,Young_Some-college_Never-married_Machine-op-inspct_Own-child_White_Male_United-States,0.5,White_Male,Young_Male
Young,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K,19,Young_HS-grad_Married-AF-spouse_Adm-clerical_Wife_White_Female_United-States,0.5,White_Female,Young_Female
Early-Middle,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,?,>50K,31,Early-Middle_Some-college_Married-civ-spouse_Sales_Husband_White_Male_?,1.0,White_Male,Early-Middle_Male
Late-Middle,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,48,Late-Middle_Assoc-acdm_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,1.5,White_Male,Late-Middle_Male
Early-Middle,Private,507875,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K,31,Early-Middle_9th_Married-civ-spouse_Machine-op-inspct_Husband_White_Male_United-States,0.6428571428571429,White_Male,Early-Middle_Male
Late-Middle,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,53,Late-Middle_Bachelors_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,1.9285714285714288,White_Male,Late-Middle_Male
Young,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K,24,Young_Bachelors_Married-civ-spouse_Tech-support_Husband_White_Male_United-States,0.9545454545454546,White_Male,Young_Male
Late-Middle,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,49,Late-Middle_HS-grad_Separated_Adm-clerical_Unmarried_White_Female_United-States,0.5,White_Female,Late-Middle_Female
Young,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K,25,Young_HS-grad_Never-married_Handlers-cleaners_Not-in-family_White_Male_United-States,0.5,White_Male,Young_Male
Late-Middle,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K,57,Late-Middle_Bachelors_Married-civ-spouse_Prof-specialty_Husband_Black_Male_United-States,0.7857142857142857,Black_Male,Late-Middle_Male
Late-Middle,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K,53,Late-Middle_HS-grad_Married-civ-spouse_Machine-op-inspct_Husband_White_Male_United-States,0.8085106382978723,White_Male,Late-Middle_Male
Early-Middle,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,44,Early-Middle_Masters_Divorced_Exec-managerial_Unmarried_White_Female_United-States,0.7,White_Female,Early-Middle_Female
Early-Middle,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,41,Early-Middle_Assoc-voc_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,0.8133333333333334,White_Male,Early-Middle_Male
Young,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,<=50K,29,Young_Assoc-voc_Never-married_Prof-specialty_Not-in-family_White_Male_United-States,0.5,White_Male,Young_Male
Young,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K,25,Young_Some-college_Married-civ-spouse_Exec-managerial_Wife_Other_Female_United-States,0.5,Other_Female,Young_Female
Young,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,?,<=50K,18,Young_HS-grad_Never-married_Other-service_Own-child_White_Female_?,0.5,White_Female,Young_Female
Late-Middle,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50K,47,Late-Middle_Prof-school_Married-civ-spouse_Prof-specialty_Wife_White_Female_Honduras,0.5,White_Female,Late-Middle_Female
Late-Middle,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K,50,Late-Middle_Bachelors_Divorced_Exec-managerial_Not-in-family_White_Male_United-States,1.0357142857142858,White_Male,Late-Middle_Male
Late-Middle,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,47,Late-Middle_HS-grad_Divorced_Exec-managerial_Not-in-family_White_Male_United-States,0.6875,White_Male,Late-Middle_Male
Early-Middle,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,43,Early-Middle_Some-college_Married-civ-spouse_Tech-support_Husband_White_Male_United-States,0.803030303030303,White_Male,Early-Middle_Male
Late-Middle,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K,46,Late-Middle_5th-6th_Married-civ-spouse_Machine-op-inspct_Husband_White_Male_Mexico,0.5,White_Male,Late-Middle_Male
Early-Middle,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K,35,Early-Middle_Assoc-voc_Married-civ-spouse_Other-service_Husband_White_Male_Puerto-Rico,0.5,White_Male,Early-Middle_Male
Early-Middle,Private,147372,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K,41,Early-Middle_HS-grad_Married-civ-spouse_Adm-clerical_Husband_White_Male_United-States,0.753731343283582,White_Male,Early-Middle_Male
Young,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K,30,Young_HS-grad_Married-civ-spouse_Machine-op-inspct_Husband_White_Male_United-States,0.5405405405405406,White_Male,Young_Male
Young,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50K,30,Young_Bachelors_Married-civ-spouse_Sales_Husband_White_Male_United-States,1.25,White_Male,Young_Male
Early-Middle,?,293936,7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male,0,0,40,?,<=50K,32,Early-Middle_7th-8th_Married-spouse-absent_?_Not-in-family_White_Male_?,0.5,White_Male,Early-Middle_Male
Late-Middle,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,48,Late-Middle_HS-grad_Married-civ-spouse_Transport-moving_Husband_White_Male_United-States,0.875,White_Male,Late-Middle_Male
Early-Middle,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,42,Early-Middle_Doctorate_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,0.6197183098591549,White_Male,Early-Middle_Male
Young,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K,29,Young_Some-college_Divorced_Tech-support_Not-in-family_White_Male_United-States,0.5,White_Male,Young_Male
Early-Middle,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,36,Early-Middle_HS-grad_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,0.7399232245681382,White_Male,Early-Middle_Male
Young,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,28,Young_Some-college_Divorced_Adm-clerical_Not-in-family_White_Female_United-States,0.5,White_Female,Young_Female
Late-Middle,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,53,Late-Middle_HS-grad_Married-civ-spouse_Adm-clerical_Wife_White_Female_United-States,0.8970588235294118,White_Female,Late-Middle_Female
Late-Middle,Self-emp-inc,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,49,Late-Middle_Some-college_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.6879432624113475,White_Male,Late-Middle_Male
Young,?,200681,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K,25,Young_Some-college_Never-married_?_Own-child_White_Male_United-States,0.5,White_Male,Young_Male
Young,Private,101509,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,<=50K,19,Young_Some-college_Never-married_Prof-specialty_Own-child_White_Male_United-States,0.5,White_Male,Young_Male
Early-Middle,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K,31,Early-Middle_Bachelors_Separated_Sales_Own-child_Black_Female_United-States,0.5,Black_Female,Early-Middle_Female
Young,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K,29,Young_Bachelors_Married-civ-spouse_Sales_Husband_White_Male_United-States,0.8333333333333334,White_Male,Young_Male
Young,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,23,Young_Some-college_Never-married_Machine-op-inspct_Not-in-family_White_Male_United-States,0.5,White_Male,Young_Male
Senior,Private,124744,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,<=50K,79,Senior_Some-college_Married-civ-spouse_Prof-specialty_Other-relative_White_Male_United-States,0.5,White_Male,Senior_Male
Young,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,<=50K,27,Young_HS-grad_Never-married_Other-service_Own-child_White_Male_Mexico,0.5,White_Male,Young_Male
Early-Middle,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,40,Early-Middle_Assoc-acdm_Married-civ-spouse_Adm-clerical_Husband_White_Male_United-States,0.9444444444444444,White_Male,Early-Middle_Male
Senior,?,212759,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,<=50K,67,Senior_10th_Married-civ-spouse_?_Husband_White_Male_United-States,0.6666666666666666,White_Male,Senior_Male
Young,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K,18,Young_11th_Never-married_Other-service_Own-child_White_Female_United-States,0.5,White_Female,Young_Female
Early-Middle,Local-gov,125927,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,31,Early-Middle_7th-8th_Married-civ-spouse_Farming-fishing_Husband_White_Male_United-States,0.5,White_Male,Early-Middle_Male
Young,Private,446839,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K,18,Young_HS-grad_Never-married_Sales_Not-in-family_White_Male_United-States,0.5108695652173914,White_Male,Young_Male
Late-Middle,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,<=50K,52,Late-Middle_Bachelors_Married-civ-spouse_Other-service_Husband_White_Male_Cuba,0.5,White_Male,Late-Middle_Male
Late-Middle,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K,46,Late-Middle_HS-grad_Married-civ-spouse_Other-service_Wife_White_Female_United-States,0.6923076923076923,White_Female,Late-Middle_Female
Late-Middle,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K,59,Late-Middle_HS-grad_Married-civ-spouse_Sales_Husband_White_Male_United-States,0.965686274509804,White_Male,Late-Middle_Male
Early-Middle,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,>50K,44,Early-Middle_HS-grad_Divorced_Craft-repair_Not-in-family_White_Female_United-States,3.0,White_Female,Early-Middle_Female
Late-Middle,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K,53,Late-Middle_HS-grad_Divorced_Sales_Own-child_White_Female_United-States,0.5,White_Female,Late-Middle_Female
Late-Middle,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,49,Late-Middle_HS-grad_Married-civ-spouse_Protective-serv_Husband_White_Male_United-States,1.34375,White_Male,Late-Middle_Male
Early-Middle,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,33,Early-Middle_Masters_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,2.009259259259259,White_Male,Early-Middle_Male
Young,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,30,Young_9th_Never-married_Sales_Not-in-family_White_Male_United-States,0.5,White_Male,Young_Male
Early-Middle,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K,43,Early-Middle_Doctorate_Never-married_Prof-specialty_Not-in-family_White_Female_United-States,1.2,White_Female,Early-Middle_Female
Late-Middle,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,57,Late-Middle_Assoc-voc_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,1.0555555555555556,White_Male,Late-Middle_Male
Early-Middle,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,37,Early-Middle_Some-college_Divorced_Craft-repair_Unmarried_White_Female_United-States,0.5,White_Female,Early-Middle_Female
Young,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K,28,Young_Some-college_Divorced_Machine-op-inspct_Unmarried_Black_Female_United-States,0.5,Black_Female,Young_Female
Young,Private,117747,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,?,<=50K,30,Young_HS-grad_Married-civ-spouse_Sales_Wife_Asian-Pac-Islander_Female_?,0.5,Asian-Pac-Islander_Female,Young_Female
Early-Middle,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,34,Early-Middle_Bachelors_Married-civ-spouse_Protective-serv_Husband_White_Male_United-States,0.8095238095238095,White_Male,Early-Middle_Male
Young,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K,29,Young_Some-college_Never-married_Handlers-cleaners_Not-in-family_White_Male_United-States,0.5,White_Male,Young_Male
Late-Middle,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50K,48,Late-Middle_Doctorate_Married-civ-spouse_Prof-specialty_Husband_White_Male_United-States,0.5843373493975904,White_Male,Late-Middle_Male
Early-Middle,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K,37,Early-Middle_Some-college_Married-civ-spouse_Sales_Husband_White_Male_United-States,0.9267241379310344,White_Male,Early-Middle_Male
Late-Middle,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,<=50K,48,Late-Middle_Assoc-acdm_Divorced_Exec-managerial_Unmarried_White_Female_England,0.5,White_Female,Late-Middle_Female
Early-Middle,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K,32,Early-Middle_HS-grad_Never-married_Other-service_Own-child_Black_Male_United-States,0.5,Black_Male,Early-Middle_Male
Senior,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,76,Senior_Masters_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.5476190476190477,White_Male,Senior_Male
Early-Middle,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K,44,Early-Middle_Bachelors_Married-civ-spouse_Exec-managerial_Husband_White_Male_United-States,0.6228501228501229,White_Male,Early-Middle_Male
Late-Middle,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,47,Late-Middle_Masters_Never-married_Prof-specialty_Not-in-family_White_Female_United-States,0.7058823529411765,White_Female,Late-Middle_Female
Young,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K,20,Young_Some-college_Never-married_Tech-support_Own-child_White_Female_United-States,0.5,White_Female,Young_Female
Young,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,29,Young_HS-grad_Never-married_Craft-repair_Not-in-family_White_Male_United-States,0.5142857142857142,White_Male,Young_Male
Early-Middle,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K,32,Early-Middle_HS-grad_Married-civ-spouse_Craft-repair_Husband_White_Male_United-States,1.542,White_Male,Early-Middle_Male
Young,?,304873,10th,6,Never-married,?,Own-child,White,Female,34095,0,32,United-States,<=50K,17,Young_10th_Never-married_?_Own-child_White_Female_United-States,0.5,White_Female,Young_Female
Young,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,30,Young_11th_Never-married_Handlers-cleaners_Own-child_White_Male_United-States,0.5,White_Male,Young_Male
Early-Middle,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,31,Early-Middle_HS-grad_Never-married_Adm-clerical_Not-in-family_White_Female_United-States,0.5,White_Female,Early-Middle_Female
Early-Middle,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,42,Early-Middle_HS-grad_Married-civ-spouse_Handlers-cleaners_Husband_White_Male_United-States,0.6292134831460674,White_Male,Early-Middle_Male
Young,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K,24,Young_Bachelors_Never-married_Sales_Other-relative_White_Male_United-States,0.5,White_Male,Young_Male
