status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_original,combined_group,sample_weight,personal_status_sex_age_combined
... < 100 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,1,28,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,Early-Middle,none,own,1,unskilled - resident,1,no,yes,0,32,female : divorced/separated/married_Early-Middle,1.5,female : divorced/separated/married_Early-Middle
no checking account,24,critical account/other credits existing,domestic appliances,2424,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,2,skilled employee/official,1,no,yes,1,53,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,30,no credits taken/all credits paid back duly,others,8072,unknown/no savings account,... < 1 year,2,male : single,none,3,car or other,Young,bank,own,3,skilled employee/official,1,no,yes,1,25,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown/no property,Mid-Career,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,44,female : divorced/separated/married_Mid-Career,2.333333333333333,female : divorced/separated/married_Mid-Career
no checking account,24,existing credits paid back duly till now,domestic appliances,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,2,yes,yes,1,31,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,9,critical account/other credits existing,car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,Mid-Career,none,own,3,skilled employee/official,1,yes,yes,1,48,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,6,existing credits paid back duly till now,domestic appliances,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,3,real estate,Mid-Career,none,rent,1,skilled employee/official,2,no,yes,1,44,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,10,critical account/other credits existing,car (new),2241,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,Mid-Career,none,rent,2,unskilled - resident,2,no,no,1,48,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
0 <= ... < 200 DM,12,critical account/other credits existing,car (used),1804,100 <= ... < 500 DM,... < 1 year,3,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,no,yes,1,44,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,10,critical account/other credits existing,radio/television,2069,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,car or other,Young,none,own,2,skilled employee/official,1,no,no,1,26,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
... < 100 DM,6,existing credits paid back duly till now,radio/television,1374,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,Early-Middle,bank,own,1,unskilled - resident,1,yes,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,6,no credits taken/all credits paid back duly,domestic appliances,426,... < 100 DM,... >= 7 years,4,male : married/widowed,none,4,car or other,Early-Middle,none,own,1,unskilled - resident,1,no,yes,1,39,male : married/widowed_Early-Middle,0.625,male : married/widowed_Early-Middle
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,409,... >= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,Mid-Career,none,rent,2,skilled employee/official,1,no,yes,1,42,female : divorced/separated/married_Mid-Career,0.6363636363636364,female : divorced/separated/married_Mid-Career
0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2415,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,Early-Middle,none,own,1,skilled employee/official,1,no,yes,1,34,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,60,delay in paying off in the past,others,6836,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,Late-Career,none,own,2,skilled employee/official,1,yes,yes,0,63,male : single_Late-Career,1.6538461538461535,male : single_Late-Career
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,1913,... >= 1000 DM,... < 1 year,3,male : married/widowed,none,3,real estate,Early-Middle,bank,own,1,skilled employee/official,1,yes,yes,1,36,male : married/widowed_Early-Middle,0.625,male : married/widowed_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,radio/television,4020,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Young,stores,own,1,skilled employee/official,1,no,yes,1,27,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Young,none,own,2,skilled employee/official,1,yes,yes,1,30,male : single_Young,0.7429906542056075,male : single_Young
no checking account,12,critical account/other credits existing,others,1264,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,Late-Career,none,rent,1,unskilled - resident,1,no,yes,1,57,male : single_Late-Career,0.7166666666666667,male : single_Late-Career
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,radio/television,1474,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Early-Middle,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,33,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
0 <= ... < 200 DM,45,critical account/other credits existing,domestic appliances,4746,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,Young,none,own,2,unskilled - resident,1,no,yes,0,25,male : single_Young,1.5288461538461535,male : single_Young
no checking account,48,critical account/other credits existing,retraining,6110,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown/no property,Early-Middle,bank,for free,1,skilled employee/official,1,yes,yes,1,31,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,domestic appliances,2100,... < 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,Early-Middle,stores,own,1,skilled employee/official,1,no,yes,0,37,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,repairs,1225,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,1,37,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,458,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,Young,none,own,1,skilled employee/official,1,no,yes,1,24,male : single_Young,0.7429906542056075,male : single_Young
no checking account,30,existing credits paid back duly till now,domestic appliances,2333,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,2,car or other,Young,bank,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,30,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,1,car or other,Young,none,own,1,skilled employee/official,1,yes,yes,1,26,male : divorced/separated_Young,0.8333333333333334,male : divorced/separated_Young
0 <= ... < 200 DM,18,delay in paying off in the past,education,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,Mid-Career,none,own,1,unskilled - resident,2,yes,yes,1,44,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,30,critical account/other credits existing,car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,none,4,car or other,Young,none,rent,2,skilled employee/official,1,no,yes,1,24,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
... < 100 DM,48,critical account/other credits existing,car (used),6143,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,Late-Career,stores,for free,2,unskilled - resident,1,no,yes,0,58,female : divorced/separated/married_Late-Career,2.875,female : divorced/separated/married_Late-Career
no checking account,11,critical account/other credits existing,car (new),1393,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,car or other,Early-Middle,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,1,35,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
no checking account,36,existing credits paid back duly till now,domestic appliances,2299,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,1,39,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,none,rent,1,unemployed/unskilled - non-resident,1,yes,yes,1,23,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,11,critical account/other credits existing,car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,Early-Middle,none,own,2,unskilled - resident,1,no,yes,1,39,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,12,existing credits paid back duly till now,domestic appliances,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,1,28,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2333,unknown/no savings account,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,Young,bank,own,1,unskilled - resident,1,no,yes,1,29,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,1,male : single,none,2,car or other,Young,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,30,male : single_Young,0.7429906542056075,male : single_Young
no checking account,12,existing credits paid back duly till now,domestic appliances,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,yes,1,25,male : single_Young,0.7429906542056075,male : single_Young
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,1,31,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Late-Career,bank,for free,2,skilled employee/official,1,yes,yes,0,57,male : single_Late-Career,1.6538461538461535,male : single_Late-Career
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,Young,stores,own,1,unskilled - resident,2,no,yes,1,26,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,6468,unknown/no savings account,unemployed,2,male : single,none,1,unknown/no property,Mid-Career,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,52,male : single_Mid-Career,1.875,male : single_Mid-Career
no checking account,36,critical account/other credits existing,domestic appliances,9566,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,Early-Middle,stores,own,2,skilled employee/official,1,no,yes,1,31,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,2,car or other,Young,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,23,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
... < 100 DM,36,critical account/other credits existing,radio/television,6229,... < 100 DM,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown/no property,Young,none,rent,2,unskilled - resident,1,yes,yes,0,23,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
0 <= ... < 200 DM,9,existing credits paid back duly till now,others,1391,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,Young,bank,own,1,skilled employee/official,1,yes,yes,1,27,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
0 <= ... < 200 DM,15,critical account/other credits existing,domestic appliances,1537,unknown/no savings account,... >= 7 years,4,male : single,guarantor,4,real estate,Mid-Career,none,own,2,skilled employee/official,1,yes,yes,1,50,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,others,1953,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Late-Career,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,61,male : single_Late-Career,1.6538461538461535,male : single_Late-Career
0 <= ... < 200 DM,48,no credits taken/all credits paid back duly,others,14421,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,yes,yes,0,25,male : single_Young,1.5288461538461535,male : single_Young
no checking account,24,existing credits paid back duly till now,domestic appliances,3181,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,yes,yes,1,26,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,27,existing credits paid back duly till now,education,5190,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,4,skilled employee/official,2,yes,yes,1,48,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,12,existing credits paid back duly till now,domestic appliances,2171,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,2,car or other,Young,bank,own,1,skilled employee/official,1,no,yes,1,29,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,Young,none,own,1,skilled employee/official,1,no,yes,1,22,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
no checking account,36,existing credits paid back duly till now,retraining,1819,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,Early-Middle,stores,for free,1,skilled employee/official,1,yes,yes,0,37,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
no checking account,36,existing credits paid back duly till now,domestic appliances,2394,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,Young,none,own,1,skilled employee/official,1,no,yes,1,25,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,bank,own,1,skilled employee/official,1,no,yes,1,30,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,7,critical account/other credits existing,domestic appliances,730,unknown/no savings account,... >= 7 years,4,male : single,none,2,building society savings agreement/life insurance,Mid-Career,none,rent,2,unskilled - resident,1,yes,yes,1,46,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,8,critical account/other credits existing,furniture/equipment,1164,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,Mid-Career,bank,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,51,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
0 <= ... < 200 DM,42,critical account/other credits existing,others,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,Mid-Career,bank,own,2,unskilled - resident,1,no,yes,1,41,female : divorced/separated/married_Mid-Career,0.6363636363636364,female : divorced/separated/married_Mid-Career
... < 100 DM,36,existing credits paid back duly till now,retraining,1977,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,40,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
... < 100 DM,12,critical account/other credits existing,car (used),1526,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Late-Career,none,for free,2,management/self-employed/highly qualified employee/officer,1,no,yes,1,66,male : single_Late-Career,0.7166666666666667,male : single_Late-Career
... < 100 DM,42,existing credits paid back duly till now,domestic appliances,3965,... < 100 DM,... < 1 year,4,male : single,none,3,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,0,34,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
0 <= ... < 200 DM,11,delay in paying off in the past,domestic appliances,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,no,yes,1,51,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,54,no credits taken/all credits paid back duly,car (used),9436,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,Early-Middle,none,own,1,unskilled - resident,2,no,yes,1,39,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,3832,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,no,yes,1,22,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
no checking account,24,existing credits paid back duly till now,domestic appliances,5943,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,1,car or other,Mid-Career,none,own,2,skilled employee/official,1,yes,yes,0,44,female : divorced/separated/married_Mid-Career,2.333333333333333,female : divorced/separated/married_Mid-Career
no checking account,15,existing credits paid back duly till now,domestic appliances,1213,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,Mid-Career,stores,own,1,skilled employee/official,1,yes,yes,1,47,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,18,existing credits paid back duly till now,others,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,unskilled - resident,1,no,yes,1,24,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
... < 100 DM,24,existing credits paid back duly till now,furniture/equipment,1755,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,Late-Career,none,own,1,unskilled - resident,1,yes,yes,1,58,female : divorced/separated/married_Late-Career,0.6052631578947368,female : divorced/separated/married_Late-Career
... < 100 DM,10,existing credits paid back duly till now,domestic appliances,2315,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,Mid-Career,none,own,1,unskilled - resident,1,no,yes,1,52,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,12,critical account/other credits existing,others,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,Young,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,29,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Young,none,own,2,skilled employee/official,1,no,yes,1,27,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,36,existing credits paid back duly till now,retraining,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,Mid-Career,none,for free,1,skilled employee/official,2,yes,yes,0,47,male : single_Mid-Career,1.875,male : single_Mid-Career
... < 100 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,Young,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1,30,male : single_Young,0.7429906542056075,male : single_Young
... < 100 DM,12,no credits taken/all credits paid back duly,education,1108,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,Young,none,own,2,skilled employee/official,1,no,yes,0,28,male : single_Young,1.5288461538461535,male : single_Young
no checking account,12,critical account/other credits existing,domestic appliances,618,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Late-Career,none,own,1,skilled employee/official,1,no,yes,1,56,male : single_Late-Career,0.7166666666666667,male : single_Late-Career
... < 100 DM,12,critical account/other credits existing,car (used),1409,... < 100 DM,... >= 7 years,4,male : single,none,3,real estate,Mid-Career,none,own,1,skilled employee/official,1,no,yes,1,54,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,12,critical account/other credits existing,domestic appliances,797,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,Early-Middle,bank,own,1,unskilled - resident,2,no,yes,0,33,female : divorced/separated/married_Early-Middle,1.5,female : divorced/separated/married_Early-Middle
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,radio/television,3617,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown/no property,Young,none,rent,2,skilled employee/official,1,no,yes,1,20,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,Mid-Career,none,own,1,skilled employee/official,1,yes,yes,1,54,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
0 <= ... < 200 DM,54,no credits taken/all credits paid back duly,others,15945,... < 100 DM,... < 1 year,3,male : single,none,4,unknown/no property,Late-Career,none,rent,1,skilled employee/official,1,yes,yes,0,58,male : single_Late-Career,1.6538461538461535,male : single_Late-Career
no checking account,12,critical account/other credits existing,retraining,2012,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,Late-Career,none,own,1,skilled employee/official,1,no,yes,1,61,female : divorced/separated/married_Late-Career,0.6052631578947368,female : divorced/separated/married_Late-Career
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,1,34,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,36,critical account/other credits existing,domestic appliances,2337,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Early-Middle,none,own,1,skilled employee/official,1,no,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/life insurance,Early-Middle,bank,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,4,male : married/widowed,none,4,real estate,Mid-Career,none,rent,1,unskilled - resident,1,no,yes,1,41,male : married/widowed_Mid-Career,0.6875,male : married/widowed_Mid-Career
0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,2323,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,1,24,male : single_Young,0.7429906542056075,male : single_Young
no checking account,6,delay in paying off in the past,domestic appliances,932,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,1,24,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
