status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,age_original,credit_risk,personal_status_sex_age_combined
no checking account,24,existing credits paid back duly till now,domestic appliances,3430,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,2,yes,yes,31,1,male : single_Early-Middle
no checking account,9,critical account/other credits existing,car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,Mid-Career,none,own,3,skilled employee/official,1,yes,yes,48,1,male : single_Mid-Career
... < 100 DM,6,existing credits paid back duly till now,domestic appliances,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,3,real estate,Mid-Career,none,rent,1,skilled employee/official,2,no,yes,44,1,male : single_Mid-Career
... < 100 DM,10,critical account/other credits existing,car (new),2241,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,Mid-Career,none,rent,2,unskilled - resident,2,no,no,48,1,male : single_Mid-Career
0 <= ... < 200 DM,12,critical account/other credits existing,car (used),1804,100 <= ... < 500 DM,... < 1 year,3,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,no,yes,44,1,male : single_Mid-Career
no checking account,10,critical account/other credits existing,radio/television,2069,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,car or other,Young,none,own,2,skilled employee/official,1,no,no,26,1,male : married/widowed_Young
... < 100 DM,6,existing credits paid back duly till now,radio/television,1374,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,Early-Middle,bank,own,1,unskilled - resident,1,yes,yes,36,1,male : single_Early-Middle
no checking account,6,no credits taken/all credits paid back duly,domestic appliances,426,... < 100 DM,... >= 7 years,4,male : married/widowed,none,4,car or other,Early-Middle,none,own,1,unskilled - resident,1,no,yes,39,1,male : married/widowed_Early-Middle
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,domestic appliances,409,... >= 1000 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,3,real estate,Mid-Career,none,rent,2,skilled employee/official,1,no,yes,42,1,female : divorced/separated/married_Mid-Career
0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2415,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,real estate,Early-Middle,none,own,1,skilled employee/official,1,no,yes,34,1,male : single_Early-Middle
... < 100 DM,60,delay in paying off in the past,others,6836,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,Late-Career,none,own,2,skilled employee/official,1,yes,yes,63,0,male : single_Late-Career
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,1913,... >= 1000 DM,... < 1 year,3,male : married/widowed,none,3,real estate,Early-Middle,bank,own,1,skilled employee/official,1,yes,yes,36,1,male : married/widowed_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,radio/television,4020,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Young,stores,own,1,skilled employee/official,1,no,yes,27,1,male : single_Young
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Young,none,own,2,skilled employee/official,1,yes,yes,30,1,male : single_Young
no checking account,12,critical account/other credits existing,others,1264,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,Late-Career,none,rent,1,unskilled - resident,1,no,yes,57,1,male : single_Late-Career
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,radio/television,1474,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Early-Middle,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,33,1,female : divorced/separated/married_Early-Middle
0 <= ... < 200 DM,45,critical account/other credits existing,domestic appliances,4746,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,Young,none,own,2,unskilled - resident,1,no,yes,25,0,male : single_Young
no checking account,48,critical account/other credits existing,retraining,6110,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,unknown/no property,Early-Middle,bank,for free,1,skilled employee/official,1,yes,yes,31,1,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,domestic appliances,2100,... < 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,Early-Middle,stores,own,1,skilled employee/official,1,no,yes,37,0,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,repairs,1225,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,37,1,male : single_Early-Middle
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,458,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,Young,none,own,1,skilled employee/official,1,no,yes,24,1,male : single_Young
no checking account,30,existing credits paid back duly till now,domestic appliances,2333,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,2,car or other,Young,bank,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,30,1,male : single_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,none,1,car or other,Young,none,own,1,skilled employee/official,1,yes,yes,26,1,male : divorced/separated_Young
0 <= ... < 200 DM,18,delay in paying off in the past,education,6204,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,real estate,Mid-Career,none,own,1,unskilled - resident,2,yes,yes,44,1,male : single_Mid-Career
... < 100 DM,30,critical account/other credits existing,car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,none,4,car or other,Young,none,rent,2,skilled employee/official,1,no,yes,24,1,male : married/widowed_Young
... < 100 DM,48,critical account/other credits existing,car (used),6143,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,Late-Career,stores,for free,2,unskilled - resident,1,no,yes,58,0,female : divorced/separated/married_Late-Career
no checking account,11,critical account/other credits existing,car (new),1393,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,car or other,Early-Middle,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,35,1,female : divorced/separated/married_Early-Middle
no checking account,36,existing credits paid back duly till now,domestic appliances,2299,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,39,1,male : single_Early-Middle
... < 100 DM,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,none,rent,1,unemployed/unskilled - non-resident,1,yes,yes,23,1,female : divorced/separated/married_Young
no checking account,11,critical account/other credits existing,car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,Early-Middle,none,own,2,unskilled - resident,1,no,yes,39,1,male : single_Early-Middle
no checking account,12,existing credits paid back duly till now,domestic appliances,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,28,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2333,unknown/no savings account,... < 1 year,4,male : single,none,2,building society savings agreement/life insurance,Young,bank,own,1,unskilled - resident,1,no,yes,29,1,male : single_Young
0 <= ... < 200 DM,27,delay in paying off in the past,car (used),5965,... < 100 DM,... >= 7 years,1,male : single,none,2,car or other,Young,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,30,1,male : single_Young
no checking account,12,existing credits paid back duly till now,domestic appliances,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,yes,25,1,male : single_Young
no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,1,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,31,1,male : single_Early-Middle
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2225,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Late-Career,bank,for free,2,skilled employee/official,1,yes,yes,57,0,male : single_Late-Career
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,Young,stores,own,1,unskilled - resident,2,no,yes,26,1,male : single_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,6468,unknown/no savings account,unemployed,2,male : single,none,1,unknown/no property,Mid-Career,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,52,0,male : single_Mid-Career
no checking account,36,critical account/other credits existing,domestic appliances,9566,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,Early-Middle,stores,own,2,skilled employee/official,1,no,yes,31,1,female : divorced/separated/married_Early-Middle
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,2,car or other,Young,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,23,1,female : divorced/separated/married_Young
... < 100 DM,36,critical account/other credits existing,radio/television,6229,... < 100 DM,... < 1 year,4,female : divorced/separated/married,co-applicant,4,unknown/no property,Young,none,rent,2,unskilled - resident,1,yes,yes,23,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,9,existing credits paid back duly till now,others,1391,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,Young,bank,own,1,skilled employee/official,1,yes,yes,27,1,male : married/widowed_Young
0 <= ... < 200 DM,15,critical account/other credits existing,domestic appliances,1537,unknown/no savings account,... >= 7 years,4,male : single,guarantor,4,real estate,Mid-Career,none,own,2,skilled employee/official,1,yes,yes,50,1,male : single_Mid-Career
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,others,1953,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Late-Career,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,61,0,male : single_Late-Career
0 <= ... < 200 DM,48,no credits taken/all credits paid back duly,others,14421,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,yes,yes,25,0,male : single_Young
no checking account,24,existing credits paid back duly till now,domestic appliances,3181,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,yes,yes,26,1,female : divorced/separated/married_Young
no checking account,27,existing credits paid back duly till now,education,5190,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,4,skilled employee/official,2,yes,yes,48,1,male : single_Mid-Career
no checking account,12,existing credits paid back duly till now,domestic appliances,2171,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,2,car or other,Young,bank,own,1,skilled employee/official,1,no,yes,29,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1007,... >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,real estate,Young,none,own,1,skilled employee/official,1,no,yes,22,1,male : married/widowed_Young
no checking account,36,existing credits paid back duly till now,retraining,1819,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,Early-Middle,stores,for free,1,skilled employee/official,1,yes,yes,37,0,male : single_Early-Middle
no checking account,36,existing credits paid back duly till now,domestic appliances,2394,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,Young,none,own,1,skilled employee/official,1,no,yes,25,1,female : divorced/separated/married_Young
no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,bank,own,1,skilled employee/official,1,no,yes,30,1,female : divorced/separated/married_Young
no checking account,7,critical account/other credits existing,domestic appliances,730,unknown/no savings account,... >= 7 years,4,male : single,none,2,building society savings agreement/life insurance,Mid-Career,none,rent,2,unskilled - resident,1,yes,yes,46,1,male : single_Mid-Career
... < 100 DM,8,critical account/other credits existing,furniture/equipment,1164,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,Mid-Career,bank,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,51,1,male : single_Mid-Career
0 <= ... < 200 DM,42,critical account/other credits existing,others,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,Mid-Career,bank,own,2,unskilled - resident,1,no,yes,41,1,female : divorced/separated/married_Mid-Career
... < 100 DM,36,existing credits paid back duly till now,retraining,1977,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,40,0,male : single_Early-Middle
... < 100 DM,12,critical account/other credits existing,car (used),1526,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Late-Career,none,for free,2,management/self-employed/highly qualified employee/officer,1,no,yes,66,1,male : single_Late-Career
... < 100 DM,42,existing credits paid back duly till now,domestic appliances,3965,... < 100 DM,... < 1 year,4,male : single,none,3,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,34,0,male : single_Early-Middle
0 <= ... < 200 DM,11,delay in paying off in the past,domestic appliances,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,no,yes,51,1,male : single_Mid-Career
no checking account,54,no credits taken/all credits paid back duly,car (used),9436,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,Early-Middle,none,own,1,unskilled - resident,2,no,yes,39,1,male : single_Early-Middle
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,3832,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,no,yes,22,1,male : married/widowed_Young
no checking account,24,existing credits paid back duly till now,domestic appliances,5943,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,1,car or other,Mid-Career,none,own,2,skilled employee/official,1,yes,yes,44,0,female : divorced/separated/married_Mid-Career
no checking account,15,existing credits paid back duly till now,domestic appliances,1213,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,Mid-Career,stores,own,1,skilled employee/official,1,yes,yes,47,1,male : single_Mid-Career
no checking account,18,existing credits paid back duly till now,others,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,unskilled - resident,1,no,yes,24,1,female : divorced/separated/married_Young
... < 100 DM,24,existing credits paid back duly till now,furniture/equipment,1755,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,Late-Career,none,own,1,unskilled - resident,1,yes,yes,58,1,female : divorced/separated/married_Late-Career
... < 100 DM,10,existing credits paid back duly till now,domestic appliances,2315,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,Mid-Career,none,own,1,unskilled - resident,1,no,yes,52,1,male : single_Mid-Career
no checking account,12,critical account/other credits existing,others,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,Young,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,29,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Young,none,own,2,skilled employee/official,1,no,yes,27,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,36,existing credits paid back duly till now,retraining,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,Mid-Career,none,for free,1,skilled employee/official,2,yes,yes,47,0,male : single_Mid-Career
... < 100 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,Young,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,30,1,male : single_Young
... < 100 DM,12,no credits taken/all credits paid back duly,education,1108,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,Young,none,own,2,skilled employee/official,1,no,yes,28,0,male : single_Young
no checking account,12,critical account/other credits existing,domestic appliances,618,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Late-Career,none,own,1,skilled employee/official,1,no,yes,56,1,male : single_Late-Career
... < 100 DM,12,critical account/other credits existing,car (used),1409,... < 100 DM,... >= 7 years,4,male : single,none,3,real estate,Mid-Career,none,own,1,skilled employee/official,1,no,yes,54,1,male : single_Mid-Career
no checking account,12,critical account/other credits existing,domestic appliances,797,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,Early-Middle,bank,own,1,unskilled - resident,2,no,yes,33,0,female : divorced/separated/married_Early-Middle
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,radio/television,3617,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown/no property,Young,none,rent,2,skilled employee/official,1,no,yes,20,1,male : single_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,Mid-Career,none,own,1,skilled employee/official,1,yes,yes,54,1,male : single_Mid-Career
0 <= ... < 200 DM,54,no credits taken/all credits paid back duly,others,15945,... < 100 DM,... < 1 year,3,male : single,none,4,unknown/no property,Late-Career,none,rent,1,skilled employee/official,1,yes,yes,58,0,male : single_Late-Career
no checking account,12,critical account/other credits existing,retraining,2012,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,Late-Career,none,own,1,skilled employee/official,1,no,yes,61,1,female : divorced/separated/married_Late-Career
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,34,1,male : single_Early-Middle
0 <= ... < 200 DM,36,critical account/other credits existing,domestic appliances,2337,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Early-Middle,none,own,1,skilled employee/official,1,no,yes,36,1,male : single_Early-Middle
0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/life insurance,Early-Middle,bank,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,36,1,male : single_Early-Middle
no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,4,male : married/widowed,none,4,real estate,Mid-Career,none,rent,1,unskilled - resident,1,no,yes,41,1,male : married/widowed_Mid-Career
0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,2323,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,24,1,male : single_Young
no checking account,6,delay in paying off in the past,domestic appliances,932,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,24,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,9,critical account/other credits existing,radio/television,1919,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,Early-Middle,none,rent,1,skilled employee/official,1,yes,yes,35,1,male : single_Early-Middle
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/no savings account,... < 1 year,2,male : married/widowed,none,4,car or other,Young,none,rent,1,skilled employee/official,1,yes,yes,26,1,male : married/widowed_Young
0 <= ... < 200 DM,24,critical account/other credits existing,furniture/equipment,11938,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,Early-Middle,none,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,39,0,male : single_Early-Middle
no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,Early-Middle,bank,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,39,0,male : single_Early-Middle
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,32,1,male : single_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,radio/television,7721,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,yes,no,30,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,14,existing credits paid back duly till now,others,1410,500 <= ... < 1000 DM,... >= 7 years,1,male : married/widowed,none,2,real estate,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,35,1,male : married/widowed_Early-Middle
0 <= ... < 200 DM,6,delay in paying off in the past,others,1449,100 <= ... < 500 DM,... >= 7 years,1,male : divorced/separated,none,2,car or other,Early-Middle,bank,own,2,skilled employee/official,2,no,yes,31,1,male : divorced/separated_Early-Middle
... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,retraining,392,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,yes,yes,23,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,real estate,Young,none,rent,1,unskilled - resident,1,no,yes,28,1,male : single_Young
no checking account,36,critical account/other credits existing,car (new),7855,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,Young,stores,own,2,skilled employee/official,1,yes,yes,25,0,female : divorced/separated/married_Young
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,1680,500 <= ... < 1000 DM,... >= 7 years,3,male : married/widowed,none,1,real estate,Early-Middle,none,own,1,skilled employee/official,1,no,yes,35,1,male : married/widowed_Early-Middle
no checking account,48,critical account/other credits existing,domestic appliances,3578,unknown/no savings account,... >= 7 years,4,male : single,none,1,real estate,Mid-Career,none,own,1,skilled employee/official,1,yes,yes,47,1,male : single_Mid-Career
... < 100 DM,42,existing credits paid back duly till now,domestic appliances,7174,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,Young,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,30,0,female : divorced/separated/married_Young
... < 100 DM,10,critical account/other credits existing,radio/television,2132,unknown/no savings account,... < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,Young,none,rent,2,skilled employee/official,1,no,no,27,1,female : divorced/separated/married_Young
... < 100 DM,33,critical account/other credits existing,radio/television,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,Young,none,own,2,skilled employee/official,1,no,yes,23,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,12,critical account/other credits existing,car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,male : divorced/separated,none,3,car or other,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,36,1,male : divorced/separated_Early-Middle
... < 100 DM,21,existing credits paid back duly till now,domestic appliances,1835,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,Young,none,own,2,skilled employee/official,1,yes,yes,25,0,female : divorced/separated/married_Young
