age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
28,services,married,high.school,no,yes,yes,cellular,jul,wed,177,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
47,services,divorced,high.school,no,yes,no,telephone,may,thu,97,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
41,technician,single,professional.course,no,yes,no,cellular,aug,tue,239,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
43,retired,married,basic.9y,no,yes,no,cellular,jul,tue,284,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
50,blue-collar,married,basic.9y,unknown,yes,no,cellular,apr,thu,1285,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
31,management,divorced,basic.6y,no,no,no,telephone,may,wed,198,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
43,blue-collar,married,basic.4y,unknown,no,no,cellular,may,fri,518,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
52,management,married,university.degree,no,yes,yes,cellular,nov,mon,172,3,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
43,management,married,university.degree,no,no,no,telephone,jun,fri,13,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
75,retired,married,basic.4y,no,yes,no,cellular,oct,wed,1020,3,999,3,failure,-1.1,94.601,-49.5,0.959,4963.6,no
51,admin.,divorced,university.degree,no,no,no,cellular,jul,mon,470,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
47,blue-collar,single,unknown,unknown,yes,no,cellular,jul,tue,213,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
27,technician,married,high.school,no,no,no,telephone,may,wed,201,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
32,management,married,basic.6y,no,no,no,telephone,may,wed,150,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
49,technician,married,professional.course,no,yes,yes,telephone,jul,mon,70,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
40,self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,58,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
51,admin.,divorced,university.degree,no,no,no,cellular,aug,fri,88,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
55,admin.,divorced,unknown,no,no,no,cellular,apr,fri,386,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
31,services,single,high.school,no,no,no,cellular,jul,thu,10,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
48,management,married,university.degree,no,yes,yes,cellular,oct,wed,157,2,999,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,no
30,admin.,divorced,basic.6y,no,no,no,cellular,jul,wed,144,10,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
32,admin.,single,university.degree,no,no,no,telephone,may,mon,409,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
52,technician,married,professional.course,no,no,yes,cellular,jul,fri,163,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
31,technician,single,basic.9y,unknown,yes,yes,cellular,nov,wed,131,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
29,admin.,single,university.degree,no,no,no,cellular,oct,mon,123,2,12,2,failure,-1.1,94.601,-49.5,0.977,4963.6,no
45,admin.,single,university.degree,no,no,yes,telephone,may,tue,766,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
27,technician,married,professional.course,no,yes,yes,cellular,jul,mon,324,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
51,self-employed,married,university.degree,no,yes,no,cellular,nov,thu,101,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
39,blue-collar,single,basic.4y,unknown,no,no,telephone,jul,thu,9,21,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
57,admin.,married,university.degree,unknown,yes,no,cellular,aug,thu,74,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,jul,wed,306,2,999,0,nonexistent,1.4,93.918,-42.7,4.956,5228.1,no
45,technician,single,professional.course,no,yes,yes,cellular,mar,thu,143,2,999,0,nonexistent,-1.8,92.843,-50.0,1.538,5099.1,no
32,admin.,married,university.degree,no,yes,no,cellular,apr,thu,361,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
58,admin.,married,university.degree,no,no,no,cellular,nov,fri,70,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
47,services,married,high.school,no,no,no,cellular,aug,mon,157,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
47,blue-collar,married,professional.course,unknown,yes,no,telephone,may,tue,15,11,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
28,student,single,high.school,no,yes,yes,telephone,jun,wed,604,6,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
50,technician,single,university.degree,no,yes,no,cellular,aug,thu,178,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
38,admin.,single,high.school,no,yes,no,cellular,may,tue,100,4,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
33,management,married,university.degree,no,no,yes,telephone,jun,fri,42,7,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
37,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,124,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
50,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,tue,164,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
31,admin.,married,high.school,no,no,no,cellular,jun,wed,161,1,2,1,success,-2.9,92.963,-40.8,1.26,5076.2,no
54,admin.,single,university.degree,no,yes,no,cellular,may,mon,485,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
28,self-employed,single,university.degree,no,unknown,unknown,cellular,aug,wed,227,1,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,no
31,entrepreneur,married,basic.9y,unknown,no,no,telephone,may,fri,136,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
29,admin.,single,university.degree,unknown,yes,no,cellular,aug,mon,129,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
42,blue-collar,married,basic.4y,no,no,no,cellular,jul,mon,378,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
44,admin.,single,university.degree,no,no,no,cellular,apr,fri,815,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
42,admin.,married,university.degree,unknown,no,no,telephone,may,wed,96,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38,admin.,single,university.degree,no,yes,yes,cellular,jul,thu,513,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
31,services,single,high.school,unknown,yes,no,telephone,may,thu,102,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,180,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
34,admin.,married,university.degree,no,yes,yes,cellular,may,mon,582,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
32,technician,single,university.degree,no,no,no,telephone,may,fri,195,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
43,admin.,married,university.degree,no,yes,yes,cellular,jul,wed,73,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
40,management,married,university.degree,no,yes,no,telephone,may,wed,295,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
36,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,180,2,999,2,failure,-1.8,92.893,-46.2,1.281,5099.1,no
44,unknown,married,high.school,unknown,no,no,cellular,jul,tue,153,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
49,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,117,3,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
42,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,wed,141,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
39,technician,single,professional.course,no,yes,no,cellular,apr,wed,226,2,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
23,blue-collar,single,basic.9y,no,yes,no,cellular,may,tue,119,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
34,management,married,university.degree,no,yes,no,telephone,may,fri,197,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
37,entrepreneur,single,university.degree,no,yes,no,telephone,jun,mon,348,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
45,blue-collar,single,basic.9y,no,yes,yes,telephone,may,tue,347,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
39,blue-collar,divorced,basic.9y,no,no,no,telephone,may,fri,106,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
30,unemployed,single,high.school,no,yes,no,cellular,sep,tue,75,1,999,1,failure,-3.4,92.379,-29.8,0.75,5017.5,no
34,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,76,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
30,blue-collar,single,basic.9y,unknown,no,no,telephone,jun,fri,10,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
58,blue-collar,married,high.school,no,yes,no,telephone,jun,tue,183,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
42,technician,divorced,high.school,unknown,yes,no,cellular,aug,thu,140,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
58,retired,married,professional.course,unknown,no,no,telephone,nov,fri,28,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
30,services,single,basic.9y,no,yes,no,cellular,jul,wed,22,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
33,admin.,single,professional.course,no,no,no,telephone,jun,thu,104,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
51,retired,married,professional.course,no,no,no,telephone,may,mon,118,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42,admin.,married,high.school,no,yes,no,cellular,nov,mon,131,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
39,blue-collar,married,unknown,unknown,no,no,telephone,jul,wed,218,2,999,0,nonexistent,1.4,93.918,-42.7,4.956,5228.1,no
31,admin.,married,high.school,no,yes,no,cellular,may,wed,14,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
34,admin.,married,university.degree,no,no,no,telephone,jun,mon,146,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
36,blue-collar,married,basic.6y,no,yes,no,telephone,may,thu,11,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
29,self-employed,married,professional.course,no,no,no,telephone,jun,wed,632,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
53,blue-collar,married,basic.6y,no,yes,yes,cellular,jul,tue,101,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
20,student,single,high.school,no,yes,no,cellular,apr,thu,195,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
35,services,married,basic.9y,no,no,yes,cellular,jul,wed,204,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
31,admin.,single,high.school,no,no,no,cellular,jun,wed,137,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
34,admin.,single,high.school,no,no,no,cellular,nov,wed,347,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
52,unemployed,divorced,high.school,no,no,no,cellular,aug,tue,96,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
46,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,378,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
56,blue-collar,married,unknown,unknown,yes,yes,cellular,jul,mon,210,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
34,blue-collar,married,basic.9y,no,no,yes,cellular,may,wed,439,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
38,services,married,high.school,unknown,no,no,telephone,may,fri,293,6,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
40,blue-collar,single,basic.9y,no,yes,yes,telephone,may,wed,325,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
30,blue-collar,single,basic.9y,no,yes,no,telephone,jul,thu,17,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
25,blue-collar,single,basic.9y,no,yes,no,cellular,jul,mon,244,7,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
43,admin.,divorced,high.school,no,yes,no,telephone,may,fri,425,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
47,technician,married,unknown,unknown,yes,no,cellular,nov,fri,57,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,no
21,student,single,high.school,unknown,yes,no,cellular,may,thu,142,3,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
32,technician,single,professional.course,no,yes,no,cellular,jul,thu,128,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
46,services,married,high.school,no,yes,no,cellular,apr,wed,201,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,no
48,blue-collar,married,high.school,no,no,no,telephone,may,wed,144,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
38,technician,married,professional.course,no,no,no,cellular,nov,wed,62,3,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
49,technician,married,professional.course,unknown,yes,no,telephone,jun,wed,429,13,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
50,blue-collar,married,basic.4y,no,unknown,unknown,telephone,jun,thu,80,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
55,admin.,married,high.school,no,yes,no,cellular,apr,wed,140,3,999,1,failure,-1.8,93.075,-47.1,1.415,5099.1,no
48,technician,married,university.degree,no,yes,no,cellular,aug,tue,64,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
33,blue-collar,divorced,basic.4y,no,no,no,cellular,may,wed,86,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
53,technician,married,professional.course,unknown,no,no,telephone,jun,fri,421,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
50,technician,married,high.school,no,no,no,telephone,may,wed,224,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
30,technician,single,university.degree,no,no,no,cellular,aug,wed,157,8,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
54,services,married,basic.6y,no,yes,no,cellular,jul,thu,86,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
31,technician,divorced,professional.course,no,no,no,cellular,aug,mon,231,5,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
38,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,95,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
55,entrepreneur,married,professional.course,no,yes,no,cellular,nov,thu,45,2,999,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
45,services,married,high.school,unknown,yes,no,telephone,may,wed,171,6,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33,self-employed,single,basic.4y,no,no,no,cellular,nov,wed,174,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
36,admin.,married,university.degree,unknown,no,no,cellular,jul,fri,135,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
29,admin.,single,high.school,no,no,no,cellular,aug,thu,103,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
35,admin.,married,high.school,no,no,yes,telephone,may,mon,208,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,fri,13,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41,blue-collar,married,basic.4y,unknown,no,no,cellular,may,wed,296,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
34,technician,married,professional.course,no,yes,yes,telephone,may,fri,224,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
47,admin.,single,unknown,unknown,no,no,telephone,may,thu,127,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
33,blue-collar,single,basic.4y,no,yes,no,cellular,apr,mon,108,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
58,retired,married,high.school,unknown,no,no,cellular,may,tue,127,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
59,retired,married,basic.4y,no,no,no,telephone,jul,thu,37,27,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
32,blue-collar,single,basic.6y,no,yes,no,telephone,may,mon,130,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
41,unemployed,married,university.degree,unknown,no,no,telephone,may,mon,729,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35,admin.,divorced,university.degree,no,yes,no,telephone,jun,wed,399,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
31,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
56,management,married,university.degree,no,yes,no,cellular,jul,thu,122,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
47,admin.,divorced,university.degree,unknown,no,no,cellular,nov,mon,213,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
33,self-employed,single,university.degree,no,no,no,telephone,may,thu,365,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
23,admin.,single,high.school,no,no,no,cellular,may,mon,16,5,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
54,services,married,unknown,no,no,no,telephone,may,tue,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
31,technician,divorced,university.degree,no,no,yes,cellular,aug,fri,180,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
53,blue-collar,single,unknown,no,yes,no,cellular,may,wed,320,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
59,admin.,married,university.degree,no,yes,no,telephone,may,fri,191,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
60,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,thu,80,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
47,admin.,married,professional.course,no,no,no,telephone,jun,mon,317,6,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
54,technician,married,high.school,no,no,no,telephone,jun,mon,77,5,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
41,services,married,basic.9y,no,yes,no,telephone,jun,thu,385,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
31,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,101,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
44,housemaid,married,basic.9y,no,no,no,telephone,may,fri,98,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
38,admin.,married,high.school,no,yes,no,telephone,jun,fri,447,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
52,entrepreneur,single,university.degree,unknown,yes,no,cellular,nov,mon,472,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
46,admin.,single,university.degree,no,no,yes,cellular,may,mon,11,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
45,management,married,unknown,unknown,no,yes,telephone,jun,mon,73,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
55,technician,married,university.degree,unknown,yes,no,cellular,aug,wed,150,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
38,admin.,single,high.school,no,yes,no,cellular,sep,fri,113,1,999,1,failure,-3.4,92.379,-29.8,0.773,5017.5,no
40,technician,married,professional.course,no,yes,no,telephone,nov,tue,33,4,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
51,unemployed,married,basic.4y,unknown,yes,no,telephone,may,thu,249,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
59,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,mon,64,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
31,admin.,single,university.degree,no,no,no,cellular,aug,thu,419,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
28,unemployed,single,university.degree,no,yes,no,cellular,may,mon,434,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
23,student,single,high.school,no,no,no,telephone,jun,tue,108,4,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
40,services,married,unknown,unknown,no,no,cellular,apr,mon,294,1,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,no
32,admin.,married,university.degree,no,yes,no,cellular,may,mon,188,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
27,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,151,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
34,services,married,high.school,no,yes,no,cellular,may,fri,320,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
30,blue-collar,married,basic.9y,no,yes,no,cellular,nov,wed,175,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
38,services,married,high.school,no,yes,no,telephone,may,tue,106,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33,admin.,married,high.school,no,no,no,telephone,jun,mon,314,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
56,blue-collar,married,basic.9y,no,yes,no,cellular,nov,fri,757,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
46,technician,married,professional.course,unknown,yes,no,cellular,aug,thu,721,5,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
34,admin.,single,basic.9y,unknown,yes,no,telephone,jun,thu,319,6,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
26,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,tue,250,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
38,technician,married,professional.course,no,yes,no,telephone,may,tue,233,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
31,admin.,single,university.degree,no,yes,no,cellular,nov,thu,230,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
40,management,married,university.degree,no,yes,no,cellular,apr,mon,96,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
32,admin.,single,high.school,no,no,no,cellular,jul,thu,147,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
45,admin.,married,high.school,no,no,no,telephone,jul,thu,172,10,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
43,services,married,high.school,no,yes,no,telephone,may,mon,241,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
29,blue-collar,married,high.school,no,yes,no,telephone,jul,wed,42,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
